businessName,normalizedName,projects,pipelineProjects,recentProjects,latestApplication,latestCompletion,cities,counties,targetScore,nextStep,firecrawlQuery,candidateDomain,candidateUrl,candidateTitle,candidateSnippet,discoveryStatus,discoveryError
"AC Power, LLC","ac power","4","4","4","2026-03-26","","Queensbury | Syracuse | Depew | Tonawanda","Warren | Onondaga | Erie","48","Find official domain, then audit careers/jobs pages for detailed solar offers.","""AC Power, LLC"" solar contractor New York official website","","","","","search_error","Firecrawl HTTP 429: {""success"":false,""error"":""Rate limit exceeded. Consumed (req/min): 13, Remaining (req/min): 0. Upgrade your plan at https://firecrawl.dev/pricing for increased rate limits or please retry after 11s, resets at Tue Aug 25 2026 17:33:05 GMT+0000 (Coordinated Universal Time)""}"
"Distributed Solar Operations, LLC","distributed solar operations","44","4","3","2023-12-14","2025-11-04","White Plains | Port Chester | West Harrison | Monroe | Bloomingburg | Walden | New Hampton | Swan Lake","Westchester | Orange | Sullivan | Ulster | Dutchess | Rensselaer | St Lawrence | Schenectady","85","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Distributed Solar Operations, LLC"" solar contractor New York official website","","","","","search_error","Firecrawl HTTP 429: {""success"":false,""error"":""Rate limit exceeded. Consumed (req/min): 14, Remaining (req/min): 0. Upgrade your plan at https://firecrawl.dev/pricing for increased rate limits or please retry after 10s, resets at Tue Aug 25 2026 17:33:05 GMT+0000 (Coordinated Universal Time)""}"
"Park Avenue Solar Solutions, LLC","park avenue solar solutions","4","4","2","2025-01-30","","Brooklyn | Germantown | Rensselaer | Mechanicville","Kings | Columbia | Rensselaer | Saratoga","42","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Park Avenue Solar Solutions, LLC"" solar contractor New York official website","","","","","search_error","Firecrawl HTTP 429: {""success"":false,""error"":""Rate limit exceeded. Consumed (req/min): 15, Remaining (req/min): 0. Upgrade your plan at https://firecrawl.dev/pricing for increased rate limits or please retry after 9s, resets at Tue Aug 25 2026 17:33:05 GMT+0000 (Coordinated Universal Time)""}"
"Sky Solar Inc.","sky solar","4","4","0","2021-10-20","","Freehold | New Paltz | Saratoga Springs","Greene | Ulster | Saratoga","36","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Sky Solar Inc."" solar contractor New York official website","","","","","search_error","Firecrawl HTTP 429: {""success"":false,""error"":""Rate limit exceeded. Consumed (req/min): 16, Remaining (req/min): 0. Upgrade your plan at https://firecrawl.dev/pricing for increased rate limits or please retry after 8s, resets at Tue Aug 25 2026 17:33:05 GMT+0000 (Coordinated Universal Time)""}"
"Kamtech Restoration Corp","kamtech restoration","2929","3","1738","2026-06-29","2026-07-29","Patchogue | Southampton | Jamaica | Queens | Rosedale | East Hampton | RICHMOND HILL | Richmond Hill","Suffolk | Queens | Nassau | Kings | Richmond | Bronx | New York | Westchester","5288","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Kamtech Restoration Corp"" solar contractor New York official website","","","","","search_error","Firecrawl HTTP 429: {""success"":false,""error"":""Rate limit exceeded. Consumed (req/min): 17, Remaining (req/min): 0. Upgrade your plan at https://firecrawl.dev/pricing for increased rate limits or please retry after 7s, resets at Tue Aug 25 2026 17:33:05 GMT+0000 (Coordinated Universal Time)""}"
"Solar Liberty","solar liberty","1125","3","490","2026-03-07","2026-07-24","Woodside | Long Island City | Brooklyn | Bronx | New York | Tuckahoe | Yonkers | Larchmont","Queens | Kings | Bronx | New York | Westchester | Putnam | Sullivan | Orange","1544","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Solar Liberty"" solar contractor New York official website","","","","","search_error","Firecrawl HTTP 429: {""success"":false,""error"":""Rate limit exceeded. Consumed (req/min): 18, Remaining (req/min): 0. Upgrade your plan at https://firecrawl.dev/pricing for increased rate limits or please retry after 6s, resets at Tue Aug 25 2026 17:33:05 GMT+0000 (Coordinated Universal Time)""}"
"Active Solar Development, LLC","active solar development","106","3","17","2026-06-17","2026-05-05","New Windsor | Rensselaerville | West Fulton | West Coxsackie | Castleton on Hudson | Troy | Rensselaer | Schaghticoke","Orange | Albany | Schoharie | Greene | Rensselaer | Schenectady | Fulton | Saratoga","125","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Active Solar Development, LLC"" solar contractor New York official website","","","","","search_error","Firecrawl HTTP 429: {""success"":false,""error"":""Rate limit exceeded. Consumed (req/min): 19, Remaining (req/min): 0. Upgrade your plan at https://firecrawl.dev/pricing for increased rate limits or please retry after 4s, resets at Tue Aug 25 2026 17:33:05 GMT+0000 (Coordinated Universal Time)""}"
"Pivot Energy Development LLC","pivot energy development","20","3","10","2024-01-06","2026-02-19","Flushing | Brooklyn | Bronx | Purchase | Evans Mills | Ticonderoga | Ogdensburg | Pulaski","Queens | Kings | Bronx | Westchester | Jefferson | Essex | St Lawrence | Oswego","74","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Pivot Energy Development LLC"" solar contractor New York official website","","","","","search_error","Firecrawl HTTP 429: {""success"":false,""error"":""Rate limit exceeded. Consumed (req/min): 20, Remaining (req/min): 0. Upgrade your plan at https://firecrawl.dev/pricing for increased rate limits or please retry after 3s, resets at Tue Aug 25 2026 17:33:05 GMT+0000 (Coordinated Universal Time)""}"
"38DN Contracting, LLC","38dn contracting","7","3","4","2026-06-17","2026-05-07","Wallkill | East Greenbush | Glenmont | Fulton | Skaneateles | New Hartford","Ulster | Rensselaer | Albany | Oswego | Onondaga | Oneida","43","Find official domain, then audit careers/jobs pages for detailed solar offers.","""38DN Contracting, LLC"" solar contractor New York official website","","","","","search_error","Firecrawl HTTP 429: {""success"":false,""error"":""Rate limit exceeded. Consumed (req/min): 21, Remaining (req/min): 0. Upgrade your plan at https://firecrawl.dev/pricing for increased rate limits or please retry after 2s, resets at Tue Aug 25 2026 17:33:05 GMT+0000 (Coordinated Universal Time)""}"
"ClearPath Energy LLC","clearpath energy","10","3","3","2026-02-18","2025-06-30","Monticello | Lowville | Tully | Little Falls | Poland | Corning","Sullivan | Lewis | Onondaga | Herkimer | Oneida | Steuben","43","Find official domain, then audit careers/jobs pages for detailed solar offers.","""ClearPath Energy LLC"" solar contractor New York official website","","","","","search_error","Firecrawl HTTP 429: {""success"":false,""error"":""Rate limit exceeded. Consumed (req/min): 22, Remaining (req/min): 0. Upgrade your plan at https://firecrawl.dev/pricing for increased rate limits or please retry after 1s, resets at Tue Aug 25 2026 17:33:05 GMT+0000 (Coordinated Universal Time)""}"
"Cipriani Energy Group Corp.","cipriani energy group","8","3","3","2026-04-10","2026-05-19","Plattsburgh | Malone | Champlain | Crown Point | Johnstown | Cortland","Clinton | Franklin | Essex | Montgomery | Cortland","41","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Cipriani Energy Group Corp."" solar contractor New York official website","zoominfo.com","https://www.zoominfo.com/c/cipriani-energy-group/481660294","Cipriani Energy Group - Overview, News & Similar ...","... New York ... Popular SearchesCipriani Energy GroupCipriani Energy Group CorpCiprianienergygroup ComCipriani Construction CorpCipriani Energy Group - Corp ...","candidate_found",""
"Lodestar Energy","lodestar energy","6","3","3","2025-04-24","2021-06-16","New Windsor | Spencer | Johnson City | Nichols","Orange | Tioga | Broome","39","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Lodestar Energy"" solar contractor New York official website","lodestarenergy.com","https://lodestarenergy.com/test/","test","We have partnered with Lodestar Energy on a number of projects in Connecticut for our energy clients. They've done what they said they would at every turn and ...","candidate_found",""
"DVM Industries LLC","dvm industries","3","3","3","2026-05-18","","Long Island City | New York","Queens | New York","36","Find official domain, then audit careers/jobs pages for detailed solar offers.","""DVM Industries LLC"" solar contractor New York official website","neifund.org","https://www.neifund.org/sitemap/","Sitemap | NEIF","## Approved Contractors
- [DVM Industries LLC](https://www.neifund.org/dvm-industries-llc/)","candidate_found",""
"Elecnor Hawkeye LLC","elecnor hawkeye","3","3","3","2026-04-10","","Selkirk | Gansevoort | Homer","Albany | Saratoga | Cortland","36","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Elecnor Hawkeye LLC"" solar contractor New York official website","libn.com","https://libn.com/2025/07/10/elecnor-hawkeye-ny-sun-solar-new-york/","Elecnor Hawkeye joins NY-Sun to expand solar energy","The acquisition prompted the company's rebranding and renaming as Elecnor Hawkeye, LLC. Today, Elecnor Hawkeye is a partner to utilities ...","candidate_found",""
"TJA Clean Energy, LLC","tja clean energy","3","3","3","2026-01-17","","Hoosick Falls | Whitesboro","Rensselaer | Oneida","36","Find official domain, then audit careers/jobs pages for detailed solar offers.","""TJA Clean Energy, LLC"" solar contractor New York official website","zoominfo.com","https://www.zoominfo.com/c/tja-clean-energy/467877370","TJA Clean Energy - Overview, News & Similar companies | ZoomInfo.com","... Tja Clean Energy LLCTja Solar LLCTja 67 Chace Rd Freetown Solar LLCSIC Code ... Source Power Company, a leading community solar company in New York ...","candidate_found",""
"Kruger Energy (USA) Inc.","kruger energy usa","3","3","3","2024-05-31","","Rexford | Ballston Spa","Saratoga","36","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Kruger Energy (USA) Inc."" solar contractor New York official website","citizenserve.com","http://www.citizenserve.com/Documents/398/363655268_01_SITE%20PLANS.pdf","13 SITE DETAILS - Citizenserve","SITE PLANS BHATTI SOLAR KRUGER ENERGY (USA) INC. TOWN OF CLIFTON PARK SARATOGA COUNTY, NEW YORK. TAX MAP ID: 269-3-6. DATE: AUGUST 14, 2023. NOT FOR.","candidate_found",""
"Coral Reef Partners, LLC","coral reef partners","3","3","3","2025-11-21","","Cortland","Cortland","36","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Coral Reef Partners, LLC"" solar contractor New York official website","coralreefpartners.com","https://www.coralreefpartners.com/","Coral Reef Partners","[0](https://www.coralreefpartners.com/cart)

# **Forging the****Future of Solar.**
[LEARN MORE](https://www.coralreefpartners.com/our-story)

### **Who** **We Are**
Coral Reef Partners is a leading commercial solar EPC (Engineering, Procurement, and Construction). At Coral Reef Partners, we envision a future where clean energy is accessible and beneficial for all, and we are dedicated to guiding our clients through every step of their journey into solar.

[![](https://images.squarespace-cdn.com/content/v1/65aec7e43541d3238bbf1e83/232d3ead-740d-4852-9c1b-8ffbe1020cef/CoralReef-Simplified-GraphicOnly.png)](https://www.coralreefpartners.com/ourstory)

# **200+**
### **Let’s Build a****Solar System**
[CONNECT WITH US TODAY!](https://www.coralreefpartners.com/contactus)","candidate_found",""
"Standard Solar Inc","standard solar","19","3","2","2025-10-15","2025-10-30","Yonkers | Goshen | Slingerlands | Lowville | Philadelphia | Turin | Glenfield | Canastota","Westchester | Orange | Albany | Lewis | Jefferson | Madison | Niagara | Erie","49","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Standard Solar Inc"" solar contractor New York official website","standardsolar.com","https://standardsolar.com/","Standard Solar: Home","# Transforming Our Energy Future
#### Delivering Smart Solar Growth
[Funding & Acquisitions](https://standardsolar.com/#)

[Community \
\
Solar](https://standardsolar.com/#)

## Solar Development Experts
[LEARN MORE](https://standardsolar.com/#)

[ONE BILLION KILOWATT HOURS](https://standardsolar.com/#elementor-action%3Aaction%3Dlightbox%26settings%3DeyJ0eXBlIjoidmlkZW8iLCJ2aWRlb1R5cGUiOiJ5b3V0dWJlIiwidXJsIjoiaHR0cHM6XC9cL3d3dy55b3V0dWJlLmNvbVwvZW1iZWRcLzA4VG1GUl9JRXhjP2ZlYXR1cmU9b2VtYmVkIn0%3D)","candidate_found",""
"Genie Solar, Inc.","genie solar","3","3","2","2026-03-26","","Delhi | Lansing | Perry","Delaware | Tompkins | Wyoming","33","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Genie Solar, Inc."" solar contractor New York official website","nyserda.my.salesforce-sites.com","https://nyserda.my.salesforce-sites.com/FindAContractorNYSun?programname","Find A Contractor NYSun","Genie Solar, Inc. Link opens in new window - close new window to return to this page. 520 Broad Street Newark, New Jersey 07102. Green Street Power Partners ...","candidate_found",""
"Community Power Group, LLC","community power group","3","3","2","2025-12-10","","Fort Edward | Arkport","Washington | Steuben","33","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Community Power Group, LLC"" solar contractor New York official website","communitypowergroup.com","https://communitypowergroup.com/blog/","Blog","Construction is officially underway at Salisbury Airport for two new solar facilities. ... Community Power Group LLC Site Plan… Read More. Jun 23 ...","candidate_found",""
"CleanChoice Energy","cleanchoice energy","3","3","2","2025-12-10","","Little Falls | Clymer | Wellsville","Herkimer | Chautauqua | Allegany","33","Find official domain, then audit careers/jobs pages for detailed solar offers.","""CleanChoice Energy"" solar contractor New York official website","","","","","search_error","Firecrawl HTTP 429: {""success"":false,""error"":""Rate limit exceeded. Consumed (req/min): 11, Remaining (req/min): 0. Upgrade your plan at https://firecrawl.dev/pricing for increased rate limits or please retry after 13s, resets at Tue Aug 25 2026 17:34:05 GMT+0000 (Coordinated Universal Time)""}"
"CVE North America, Inc.","cve north america","14","3","1","2024-02-28","2025-04-09","Troy | Queensbury | Manlius | Albion | Sanborn | Brockport | Ransomville | Fredonia","Rensselaer | Warren | Onondaga | Orleans | Niagara | Monroe | Chautauqua","41","Find official domain, then audit careers/jobs pages for detailed solar offers.","""CVE North America, Inc."" solar contractor New York official website","","","","","search_error","Firecrawl HTTP 429: {""success"":false,""error"":""Rate limit exceeded. Consumed (req/min): 12, Remaining (req/min): 0. Upgrade your plan at https://firecrawl.dev/pricing for increased rate limits or please retry after 12s, resets at Tue Aug 25 2026 17:34:05 GMT+0000 (Coordinated Universal Time)""}"
"New Leaf Energy, Inc.","new leaf energy","3","3","1","2023-11-04","","Worcester | Mc Donough","Otsego | Chenango","30","Find official domain, then audit careers/jobs pages for detailed solar offers.","""New Leaf Energy, Inc."" solar contractor New York official website","","","","","search_error","Firecrawl HTTP 429: {""success"":false,""error"":""Rate limit exceeded. Consumed (req/min): 13, Remaining (req/min): 0. Upgrade your plan at https://firecrawl.dev/pricing for increased rate limits or please retry after 11s, resets at Tue Aug 25 2026 17:34:05 GMT+0000 (Coordinated Universal Time)""}"
"Source Renewables LLC","source renewables","3","3","1","2025-12-10","","Homer | Buffalo","Cortland | Erie","30","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Source Renewables LLC"" solar contractor New York official website","","","","","search_error","Firecrawl HTTP 429: {""success"":false,""error"":""Rate limit exceeded. Consumed (req/min): 14, Remaining (req/min): 0. Upgrade your plan at https://firecrawl.dev/pricing for increased rate limits or please retry after 10s, resets at Tue Aug 25 2026 17:34:05 GMT+0000 (Coordinated Universal Time)""}"
"THE GREEN PLUG LLC","the green plug","78","2","78","2026-07-17","2026-07-30","Queens | Brooklyn | Glen Oaks | Jamaica | Queens Village | East Meadow | Roslyn Heights | Floral Park","Queens | Kings | Nassau | Richmond | Bronx | Suffolk | New York","300","Find official domain, then audit careers/jobs pages for detailed solar offers.","""THE GREEN PLUG LLC"" solar contractor New York official website","","","","","search_error","Firecrawl HTTP 429: {""success"":false,""error"":""Rate limit exceeded. Consumed (req/min): 15, Remaining (req/min): 0. Upgrade your plan at https://firecrawl.dev/pricing for increased rate limits or please retry after 9s, resets at Tue Aug 25 2026 17:34:05 GMT+0000 (Coordinated Universal Time)""}"
"EVERGREEN ENERGY","evergreen energy","11","2","6","2026-01-21","2026-05-26","Brooklyn | Maspeth | Goshen | Lake Katrine","Kings | Queens | Orange | Ulster","45","Find official domain, then audit careers/jobs pages for detailed solar offers.","""EVERGREEN ENERGY"" solar contractor New York official website","","","","","search_error","Firecrawl HTTP 429: {""success"":false,""error"":""Rate limit exceeded. Consumed (req/min): 16, Remaining (req/min): 0. Upgrade your plan at https://firecrawl.dev/pricing for increased rate limits or please retry after 8s, resets at Tue Aug 25 2026 17:34:05 GMT+0000 (Coordinated Universal Time)""}"
"Zuvan Renewables","zuvan renewables","3","2","3","2026-05-06","2025-09-30","Brooklyn | Bronx","Kings | Bronx","28","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Zuvan Renewables"" solar contractor New York official website","","","","","search_error","Firecrawl HTTP 429: {""success"":false,""error"":""Rate limit exceeded. Consumed (req/min): 17, Remaining (req/min): 0. Upgrade your plan at https://firecrawl.dev/pricing for increased rate limits or please retry after 7s, resets at Tue Aug 25 2026 17:34:05 GMT+0000 (Coordinated Universal Time)""}"
"YOU SAVE GREEN INC","you save green","626","2","2","2023-01-13","2023-03-08","Shoreham | Mastic | Selden | Shirley | Centereach | East Setauket | Rocky Point | Mastic Beach","Suffolk | Nassau | Queens | Kings | Richmond | Bronx | New York | Westchester","72","Find official domain, then audit careers/jobs pages for detailed solar offers.","""YOU SAVE GREEN INC"" solar contractor New York official website","","","","","search_error","Firecrawl HTTP 429: {""success"":false,""error"":""Rate limit exceeded. Consumed (req/min): 18, Remaining (req/min): 0. Upgrade your plan at https://firecrawl.dev/pricing for increased rate limits or please retry after 5s, resets at Tue Aug 25 2026 17:34:05 GMT+0000 (Coordinated Universal Time)""}"
"C-TEC Solar LLC","c tec solar","3","2","2","2025-03-05","2017-10-03","New Lebanon | Delanson | Geneva","Columbia | Schenectady | Ontario","25","Find official domain, then audit careers/jobs pages for detailed solar offers.","""C-TEC Solar LLC"" solar contractor New York official website","","","","","search_error","Firecrawl HTTP 429: {""success"":false,""error"":""Rate limit exceeded. Consumed (req/min): 19, Remaining (req/min): 0. Upgrade your plan at https://firecrawl.dev/pricing for increased rate limits or please retry after 4s, resets at Tue Aug 25 2026 17:34:05 GMT+0000 (Coordinated Universal Time)""}"
"DG New York CS, LLC","dg new york cs","59","2","1","2023-11-29","2026-05-19","Otisville | Middletown | New Hampton | Hudson | Schaghticoke | Altamont | Troy | Clayton","Orange | Columbia | Rensselaer | Albany | Jefferson | Essex | Cortland | Onondaga","69","Find official domain, then audit careers/jobs pages for detailed solar offers.","""DG New York CS, LLC"" solar contractor New York official website","","","","","search_error","Firecrawl HTTP 429: {""success"":false,""error"":""Rate limit exceeded. Consumed (req/min): 20, Remaining (req/min): 0. Upgrade your plan at https://firecrawl.dev/pricing for increased rate limits or please retry after 3s, resets at Tue Aug 25 2026 17:34:05 GMT+0000 (Coordinated Universal Time)""}"
