businessName,normalizedName,projects,pipelineProjects,recentProjects,latestApplication,latestCompletion,cities,counties,targetScore,nextStep,serperQuery,candidateDomain,candidateUrl,candidateTitle,candidateSnippet,discoveryStatus,discoveryError
"Sky Solar Inc.","sky solar","4","4","0","2021-10-20","","Freehold | New Paltz | Saratoga Springs","Greene | Ulster | Saratoga","36","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Sky Solar Inc."" solar contractor New York official website","documents.dps.ny.gov","https://documents.dps.ny.gov/public/Common/ViewDoc.aspx?DocRefId=%7BA29A0775-70E9-4FF8-B323-2DB1C9EA7B13%7D&DocTitle=Sky%20Solar%20Inc%20Public%20Comment%20Submission","[PDF] : 1~ SKY SOLAR - Search / Commission Files","Sky Solar Inc. (""SKY"") is a division of a world leading renewable energy company focused on the development, financing, and engineering of ...","candidate_found",""
"Kamtech Restoration Corp","kamtech restoration","2929","3","1738","2026-06-29","2026-07-29","Patchogue | Southampton | Jamaica | Queens | Rosedale | East Hampton | RICHMOND HILL | Richmond Hill","Suffolk | Queens | Nassau | Kings | Richmond | Bronx | New York | Westchester","5288","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Kamtech Restoration Corp"" solar contractor New York official website","gaf.com","https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/brooklyn/kamtech-restoration-corp-1112005","Kamtech Restoration Corp | GAF Residential Roofers","Kamtech Restoration Corp is a family-owned contractor located right here in NYC between Dyker Heights and Bensonhurst in Brooklyn. We specialize in roofing ...","candidate_found",""
"Solar Liberty","solar liberty","1125","3","490","2026-03-07","2026-07-24","Woodside | Long Island City | Brooklyn | Bronx | New York | Tuckahoe | Yonkers | Larchmont","Queens | Kings | Bronx | New York | Westchester | Putnam | Sullivan | Orange","1544","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Solar Liberty"" solar contractor New York official website","solarliberty.com","https://solarliberty.com/","Solar Liberty | NY's Top-Rated Solar Company","A trusted solar company with 20+ years experience serving NY, PA, OH & VT. Get a free quote online or call Solar Liberty at 866-807-3639.","candidate_found",""
"Active Solar Development, LLC","active solar development","106","3","17","2026-06-17","2026-05-05","New Windsor | Rensselaerville | West Fulton | West Coxsackie | Castleton on Hudson | Troy | Rensselaer | Schaghticoke","Orange | Albany | Schoharie | Greene | Rensselaer | Schenectady | Fulton | Saratoga","125","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Active Solar Development, LLC"" solar contractor New York official website","activesolarusa.com","https://www.activesolarusa.com/","Active Solar Development, LLC","Active Solar Development, LLC was founded by Frank McCleneghen in 2012, with ... solar thermal or ""hot water"" systems in New York State. NYSERDA ...","candidate_found",""
"Pivot Energy Development LLC","pivot energy development","20","3","10","2024-01-06","2026-02-19","Flushing | Brooklyn | Bronx | Purchase | Evans Mills | Ticonderoga | Ogdensburg | Pulaski","Queens | Kings | Bronx | Westchester | Jefferson | Essex | St Lawrence | Oswego","74","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Pivot Energy Development LLC"" solar contractor New York official website","oneidacountyida.org","https://www.oneidacountyida.org/projects/download/3398","[PDF] Untitled - Oneida County Industrial Development Agency","PIVOT SOLAR NY 4, LLC. By: Pivot Energy Development, LLC, its sole member. By: STATE OF COLORADO. ) COUNTY OF DENVER. Tom Hunt. Chief Executive Officer. : ss.:.","candidate_found",""
"38DN Contracting, LLC","38dn contracting","7","3","4","2026-06-17","2026-05-07","Wallkill | East Greenbush | Glenmont | Fulton | Skaneateles | New Hartford","Ulster | Rensselaer | Albany | Oswego | Onondaga | Oneida","43","Find official domain, then audit careers/jobs pages for detailed solar offers.","""38DN Contracting, LLC"" solar contractor New York official website","nyserda.my.salesforce-sites.com","https://nyserda.my.salesforce-sites.com/FindAContractorNYSun?programname=NY-Sun%20-%20Commercial%20&%20Industrial","Find A Contractor NYSun","Company. 38DN Contracting, LLC Link opens in new window - close new window to return to this page. 180 Harbor Drive, Suite 217. Sausalito, California 94965.","candidate_found",""
"ClearPath Energy LLC","clearpath energy","10","3","3","2026-02-18","2025-06-30","Monticello | Lowville | Tully | Little Falls | Poland | Corning","Sullivan | Lewis | Onondaga | Herkimer | Oneida | Steuben","43","Find official domain, then audit careers/jobs pages for detailed solar offers.","""ClearPath Energy LLC"" solar contractor New York official website","thompsonny.gov","https://thompsonny.gov/wp-content/uploads/2025/01/Town-Board-Agenda-Packet-02-20-2025.pdf","Town of Thompson, Sullivan County, NY","Robert Romine, ClearPath Energy LLC: Letter dated 01/31/25 to Supervisor Rieber Re: Notice of Intent to Install a Solar. Energy System-The "" ...","candidate_found",""
"Cipriani Energy Group Corp.","cipriani energy group","8","3","3","2026-04-10","2026-05-19","Plattsburgh | Malone | Champlain | Crown Point | Johnstown | Cortland","Clinton | Franklin | Essex | Montgomery | Cortland","41","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Cipriani Energy Group Corp."" solar contractor New York official website","zoominfo.com","https://www.zoominfo.com/c/cipriani-energy-group/481660294","Cipriani Energy Group - Overview, News & Similar ...","... New York ... Popular SearchesCipriani Energy GroupCipriani Energy Group CorpCiprianienergygroup ComCipriani Construction CorpCipriani Energy Group - Corp ...","candidate_found",""
"Lodestar Energy","lodestar energy","6","3","3","2025-04-24","2021-06-16","New Windsor | Spencer | Johnson City | Nichols","Orange | Tioga | Broome","39","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Lodestar Energy"" solar contractor New York official website","lodestarenergy.com","https://lodestarenergy.com/test/","test","Megan supports the Lodestar Energy team in the origination and development of solar projects across all markets. She contributes to site identification ...","candidate_found",""
"DVM Industries LLC","dvm industries","3","3","3","2026-05-18","","Long Island City | New York","Queens | New York","36","Find official domain, then audit careers/jobs pages for detailed solar offers.","""DVM Industries LLC"" solar contractor New York official website","naece.org","https://naece.org/listing/dvm-industries-llc","DVM INDUSTRIES LLC | NAECE Directory","About DVM INDUSTRIES LLC ... DVM Industries is a leading Turnkey Facility and Energy Solutions provider, specializing in tailored services for the Residential, ...","candidate_found",""
"Elecnor Hawkeye LLC","elecnor hawkeye","3","3","3","2026-04-10","","Selkirk | Gansevoort | Homer","Albany | Saratoga | Cortland","36","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Elecnor Hawkeye LLC"" solar contractor New York official website","libn.com","https://libn.com/2025/07/10/elecnor-hawkeye-ny-sun-solar-new-york/","Elecnor Hawkeye joins NY-Sun to expand solar energy","The acquisition prompted the company's rebranding and renaming as Elecnor Hawkeye, LLC. Today, Elecnor Hawkeye is a partner to utilities ...","candidate_found",""
