licenseNumber,licenseExpirationDate,businessName,contactName,cityStateZip,county,zip,phone,businessAddress,solarSignal,targetScore,nextStep
35568,2026-11-07,"MONUMENT SOLAR, LLC","MONUMENT SOLAR, LLC",SAGINAW TX 76131-1033,TARRANT,76131,8176920302,"1001 KENNEDY LANE, SUITE 730",explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
37474,2027-09-09,MOUNTAINSTAR SOLAR LLC,MOUNTAINSTAR SOLAR LLC,EL PASO TX 79835,EL PASO,79835,9153332433,6731 DONIPHAN DR,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
40688,2026-09-12,NATIONAL SOLAR INSTALLATIONS OF TX LLC,NATIONAL SOLAR INSTALLATIONS OF TX LLC,ROCKLEDGE FL 32955-5802,OUT OF STATE,32955,3216084850,255 PAINT ST,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
26718,2026-10-24,NATIVE SOLAR LLC,NATIVE SOLAR LLC,DRIPPING SPRINGS TX 78620,HAYS,78620,5125525581,3998 E HWY 290 STE D,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
36893,2027-03-27,NEXT GENERATION SOLAR,NEXT GENERATION SOLAR,FORT WORTH TX 76179,TARRANT,76179,8177892121,6916 INTREPID DR,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
31140,2026-08-26,NORTH TEXAS SOLAR LLC,NORTH TEXAS SOLAR LLC,FORT WORTH TX 76137,TARRANT,76137,9403872716,6624 N RIVERSIDE,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
30002,2027-05-15,OLYMPUS ELECTRIC & SOLAR LLC,OLYMPUS ELECTRIC & SOLAR LLC,SAN ANTONIO TX 78235-2628,BEXAR,78235,2102368314,8114 CITYBASE LANDING STE 135,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
40061,2027-03-11,"ON Q SOLAR SERVICES, LLC","ON Q SOLAR SERVICES, LLC",SANTA CLARITA CA 91350-8562,OUT OF STATE,91350,8885523609,27310 ATTWELL LN,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
31318,2027-01-17,ONE80 SOLAR,ONE80 SOLAR,SAN ANTONIO TX 78204-1638,BEXAR,78204,2108027428,1502 S FLORES ST,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
41422,2027-05-05,ORO ENERGY & SOLAR LLC,ORO ENERGY & SOLAR LLC,SAN ANTONIO TX 78253-7427,BEXAR,78253,2102137220,6510 VELMA PATH,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
34752,2027-09-16,"PALMETTO SOLAR, LLC","PALMETTO SOLAR, LLC",CHARLOTTE NC 28203-4378,OUT OF STATE,28203,8553391831,"1616 CAMDEN ROAD, SUITE 300",explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
38936,2027-03-07,PATRIOT POWER SOLAR AND ELECTRICAL,PATRIOT POWER SOLAR AND ELECTRICAL,BUDA TX 78610-3212,HAYS,78610,7605746101,342 CAROLYNS WAY,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
39709,2026-11-21,PATS ELECTRIC AND SOLAR LLC,PATS ELECTRIC AND SOLAR LLC,QUINLAN TX 75474-4229,HUNT,75474,5594101886,6733 LITTLE CREEK DR,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
41489,2027-05-21,PCL SOLAR CONSTRUCTORS USA INC,PCL SOLAR CONSTRUCTORS USA INC,KATY TX 77449-2175,HARRIS,77449,8326101916,2322 W GRAND PKWY N STE 200,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
38246,2027-06-21,"PEOPLE'S CHOICE SOLAR, LLC","PEOPLE'S CHOICE SOLAR, LLC",MCALLEN TX 78501-4902,HIDALGO,78501,9566273419,2916 N TAYLOR RD,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
33440,2027-08-21,PLUG ELECTRIC & SOLAR LLC,PLUG ELECTRIC & SOLAR LLC,ODESSA TX 79763-2804,ECTOR,79763,6827012835,801 W 19TH ST,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
41752,2027-08-04,POSITIVE ENERGY SOLAR INC,POSITIVE ENERGY SOLAR INC,SANTA FE NM 87507-4101,OUT OF STATE,87507,5054241112,1235 SILER RD,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
32680,2027-05-26,"POWERFIN TEXAS SOLAR PROJECTS, LLC","POWERFIN TEXAS SOLAR PROJECTS, LLC",AUSTIN TX 78731,TRAVIS,78731,5124122491,"3305 NORTHLAND DRIVE, SUITE 414",explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
35440,2026-09-26,PRIME SOLAR INC,PRIME SOLAR INC,RICHARDSON TX 75080-1946,DALLAS,75080,4699800351,"819 W ARAPAHO RD UNIT 24B, POB 226",explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
35719,2027-02-07,PROCLAIM SOLAR LLC,PROCLAIM SOLAR LLC,PLANO TX 75074,COLLIN,75074,8172097402,1865 SUMMIT AVE #607,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
33458,2027-03-20,PUNCH SOLAR & ELECTRICAL SERVICES LLC,PUNCH SOLAR & ELECTRICAL SERVICES LLC,AUSTIN TX 78753-2734,TRAVIS,78753,5126968125,11511 POLLYANNA AVE,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
39006,2027-04-20,"PV NATIONAL, LLC","PV NATIONAL, LLC",RICHARDSON TX 75081,DALLAS,75081,9723027509,1124 COMMERCE DRIVE,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
36125,2027-06-11,"QUANTUM SOLAR POWER, LLC","QUANTUM SOLAR POWER, LLC",EL PASO TX 79905,EL PASO,79905,9152013875,4312 ROSA AVE,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
36729,2027-01-15,QUICKEN SOLAR LLC,QUICKEN SOLAR LLC,FRISCO TX 75035,COLLIN,75035,4329678618,9796 LUDWICK LN,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
38800,2027-01-19,RADIANCE SOLAR LLC,RADIANCE SOLAR LLC,MARIETTA GA 30068,OUT OF STATE,30068,8329848318,1200 JOHNSON FERRY RD,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
39967,2027-02-14,RAYMUNDOS ELECTRICAL N SOLAR LLC,RAYMUNDOS ELECTRICAL N SOLAR LLC,KATY TX 77449-1787,HARRIS,77449,3464049129,20931 WESTFIELD GROVE PL,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
38109,2027-05-25,"READY EVERY SECOND SOLAR, INC.","READY EVERY SECOND SOLAR, INC.",HOUSTON TX 77092-7218,HARRIS,77092,7135895299,5506 MITCHELLDALE ST,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
40730,2027-09-29,REMOVE SOLAR RESET LLC,REMOVE SOLAR RESET LLC,PLANO TX 75075,COLLIN,75075,9723521405,1600 WEST PLANO PARKWAY STE 42,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
32996,2027-09-29,RENERGY SOLAR LLC,RENERGY SOLAR LLC,BOERNE TX 78006,KENDALL,78006,8307558699,PO BOX 1401,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
37418,2026-08-24,RGV SOLAR ELECTRIC LLC,RGV SOLAR ELECTRIC LLC,MISSION TX 78572-3576,HIDALGO,78572,9562257813,"2575 E GRIFFIN PKWY, SUITE 9",explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
38167,2027-06-06,RKS ELECTRIC AND SOLAR L.L.C.,RKS ELECTRIC AND SOLAR L.L.C.,HUTTO TX 78634-5243,WILLIAMSON,78634,5125164629,307 ESTATE DR,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
36806,2027-02-07,RURAL SOLAR RESTORATION LLC,RURAL SOLAR RESTORATION LLC,DENVER CO 80211,OUT OF STATE,80211,3038486263,"2921 W 38TH AVE, PMB #455",explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
33112,2026-12-03,S & H SOLAR & ELECTRIC LLC,S & H SOLAR & ELECTRIC LLC,IOWA PARK TX 76367-1612,WICHITA,76367,6824291349,211 N WALL ST,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
39625,2026-10-29,S&R SOLAR SOLUTIONS LLC,S&R SOLAR SOLUTIONS LLC,LAREDO TX 78041-6211,WEBB,78041,9569993147,"6999 MC PHERSON RD SUITE 109, OFFICE 3",explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
35709,2027-02-03,"SECURITY SOLAR, LLC","SECURITY SOLAR, LLC",ROUND ROCK TX 78665,WILLIAMSON,78665,3185724997,2145 SETTLERS PARK LOOP,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
38829,2027-01-30,SHNEYDER SOLAR INC,SHNEYDER SOLAR INC,FORNEY TX 75126,KAUFMAN,75126,8187318106,9973 HIGH COUNTRY LN,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
36340,2027-08-25,SIGNA TECH SOLAR DBA,SIGNA TECH SOLAR DBA,SULPHUR SPRINGS TX 75482-6601,HOPKINS,75482,9037078298,901 INDUSTRIAL DRIVE WEST,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
33035,2026-10-04,"SILVER ELECTRIC AND SOLAR, LLC","SILVER ELECTRIC AND SOLAR, LLC",LEANDER TX 78641-6226,WILLIAMSON,78641,5125699264,1200 S GABRIEL DR,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
37273,2027-07-07,SIRIO SOLAR ENERGY SOLUTIONS LLC,SIRIO SOLAR ENERGY SOLUTIONS LLC,PANTEGO TX 76013,TARRANT,76013,2144275403,2901 W PIONEER PKWY UNIT 2005,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
40845,2026-11-05,SKYGRID SOLAR SOLUTIONS LLC,SKYGRID SOLAR SOLUTIONS LLC,MINEOLA TX 75773,WOOD,75773,9035395658,835 COUNTY ROAD 2796,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
35746,2027-02-22,SMA SOLAR TECHNOLOGY AMERICA LLC,SMA SOLAR TECHNOLOGY AMERICA LLC,ROCKLIN CA 95765-3720,OUT OF STATE,95765,9166260820,3925 ATHERTON RD,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
35047,2027-02-18,SMART ENERGY SOLAR LLC,SMART ENERGY SOLAR LLC,EL PASO TX 79907-3208,EL PASO,79907,9154437635,9108 CUERNAVACA DR,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
37419,2026-09-06,SOLAR 365 LLC DBA GOOD NEIGHBOR ENERGY,SOLAR 365 LLC DBA GOOD NEIGHBOR ENERGY,SAN ANTONIO TX 78229,BEXAR,78229,2103164929,"6326 SOVEREIGN DR, SUITE 136A",explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
35483,2026-12-11,SOLAR 820 LLC,SOLAR 820 LLC,HOUSTON TX 77469,FORT BEND,77469,3468021934,10047 WEST PARK DR #16,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
35385,2027-08-12,SOLAR ALTERNATIVES INC,SOLAR ALTERNATIVES INC,HARAHAN LA 70123-2155,OUT OF STATE,70123,5042671660,5804 RIVER OAKS RD S,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
37677,2026-12-14,"SOLAR BROS ELECTRIC, LLC","SOLAR BROS ELECTRIC, LLC",FORT WORTH TX 76112,TARRANT,76112,9723227233,"6707 BRENTWOOD STAIR RD, SUITE 120",explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
29755,2027-08-13,SOLAR CENTEX LLC,SOLAR CENTEX LLC,HARKER HEIGHTS TX 76548-8680,BELL,76548,2543001228,1901 E FM 2410,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
33215,2026-12-19,SOLAR EDGE PROS LLC,SOLAR EDGE PROS LLC,SAN ANTONIO TX 78216-2621,BEXAR,78216,2108984453,318 W NAKOMA ST,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
18011,2026-12-08,SOLAR ELECTRIC TEXAS LLC,SOLAR ELECTRIC TEXAS LLC,SAN ANTONIO TX 78229,BEXAR,78229,2108850263,4831 CHEDDER,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
30862,2027-04-04,SOLAR ELECTRICAL/RETROFIT SOLUTIONS INC,SOLAR ELECTRICAL/RETROFIT SOLUTIONS INC,ALVARADO TX 76009-5202,JOHNSON,76009,8177393351,"12611 E FM 917, SUITE E",explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
41158,2027-02-23,SOLAR EXPERT AND ROOFS,SOLAR EXPERT AND ROOFS,EDINBURG TX 78542-0463,HIDALGO,78542,9562520685,617 N M ROAD,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
41297,2027-03-31,SOLAR INNOVATIVE SOLUTIONS CORP,SOLAR INNOVATIVE SOLUTIONS CORP,LEHIGH ACRES FL 33976-4528,OUT OF STATE,33976,3055626736,2705 33RD ST SW,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
40126,2027-04-01,SOLAR ONE CONSTRUCTION,SOLAR ONE CONSTRUCTION,SHERMAN TX 75090,GRAYSON,75090,9038709052,"221 W HOUSTON STREET, SUITE 220",explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
39062,2027-04-16,SOLAR OPTIMAL SERVICES LLC,SOLAR OPTIMAL SERVICES LLC,DALLAS TX 75253-3720,DALLAS,75253,2149315976,2329 ECHO LAKE DR,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
38546,2026-09-29,SOLAR PLUS LLC,SOLAR PLUS LLC,MIDLOTHIAN TX 76065-4588,ELLIS,76065,8179322346,3811 WISTERIA TRL,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
34411,2027-04-16,SOLAR POWER INTEGRATOR LLC,SOLAR POWER INTEGRATOR LLC,CORPUS CHRISTI TX 78418-5312,NUECES,78418,3613601800,582 YORKTOWN BLVD,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
34727,2026-09-04,SOLAR PVS LLC,SOLAR PVS LLC,HOUSTON TX 77044-4991,HARRIS,77044,8328773380,15218 BENTRIDGE DR,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
37604,2026-10-27,SOLAR SALES OF NORTH AMERICA INC,SOLAR SALES OF NORTH AMERICA INC,FRISCO TX 75035-6762,COLLIN,75035,4692999980,7837 EXCALIBER RD,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
41216,2027-03-12,SOLAR SANDHU INC,SOLAR SANDHU INC,HOUSTON TX 77002-8256,HARRIS,77002,8178073594,1825 SAN JACINTO ST STE 540,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
38399,2027-08-18,SOLAR SCOUTS OPERATIONS LLC,SOLAR SCOUTS OPERATIONS LLC,FREDERICKSBURG TX 78624,GILLESPIE,78624,2148434238,PO BOX 1129,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
33444,2027-03-19,SOLAR SERVICE AMERICA LLC,SOLAR SERVICE AMERICA LLC,AUSTIN TX 78723,TRAVIS,78723,5129259948,1801 E 51ST ST STE 365 # 250,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
27852,2027-01-27,"SOLAR SMART LIVING, LLC","SOLAR SMART LIVING, LLC",SANTA TERESA NM 88008,OUT OF STATE,88008,9154002995,108 RAY WARD PL,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
33434,2027-03-09,"SOLAR SME, INC.","SOLAR SME, INC.",DALLAS TX 75212-7612,DALLAS,75212,2149564300,2626 SEA HARBOR RD,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
39183,2026-12-11,SOLAR TECH INNOVATIONS LLC,SOLAR TECH INNOVATIONS LLC,BENBROOK TX 76126-3724,TARRANT,76126,8178621143,1124 AUGUSTA RD,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
28922,2027-06-27,SOLAR TEK ENERGY,SOLAR TEK ENERGY,KYLE TX 78640-5333,HAYS,78640,5122682800,3080 KYLE XING APT 3,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
35546,2026-10-28,SOLSTICE SOLAR LLC,SOLSTICE SOLAR LLC,HOUSTON TX 77040,HARRIS,77040,4692628161,"STE #150, 9001 JAMEEL RD",explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
29074,2027-02-10,SOUTH COAST SOLAR LLC,SOUTH COAST SOLAR LLC,METAIRIE LA 70002-6036,OUT OF STATE,70002,5045297869,2605 RIDGELAKE DR,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
30019,2027-02-12,SOUTH TEXAS SOLAR SYSTEMS,SOUTH TEXAS SOLAR SYSTEMS,SAN ANTONIO TX 78217-4449,BEXAR,78217,9562362404,"10203 KOTZEBUE ST, SUITE 109",explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
34875,2026-11-21,"SPACE CITY SOLAR, LLC.","SPACE CITY SOLAR, LLC.",HOUSTON TX 77066-1007,HARRIS,77066,2819992748,12607 VINVALE RD,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
39434,2026-09-08,SPARTAN SOLAR & ELECTRIC LLC,SPARTAN SOLAR & ELECTRIC LLC,WEATHERFORD TX 76087-7308,PARKER,76087,6822881076,201 PARKWAY DR,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
41062,2027-01-23,SPECTRUM SOLAR POWER LLC,SPECTRUM SOLAR POWER LLC,WINTER PARK FL 32792-2541,OUT OF STATE,32792,4072052945,2431 ALOMA AVE,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
38123,2027-06-19,SPEKTRA LLC DBA SOLAR E TRIBE,SPEKTRA LLC DBA SOLAR E TRIBE,PLANO TX 75024-3479,COLLIN,75024,9724006422,7204 HIGH PLAINS DR,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
36510,2026-11-07,STARALT SOLAR,STARALT SOLAR,MCALLEN TX 78501,HIDALGO,78501,9564455359,401 E CEDAR AVE SUITE E,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
37176,2027-06-02,STATIC SOLAR LLC,STATIC SOLAR LLC,RICHARDSON TX 75081,DALLAS,75081,8334782842,401 N INTERURBAN ST STE 300,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
38058,2027-05-03,STEPHENS SOLAR SOLUTIONS,STEPHENS SOLAR SOLUTIONS,SAN ANTONIO TX 78216-3214,BEXAR,78216,2107850994,11801 WARFIELD ST,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
35852,2027-03-22,STG SOLAR,STG SOLAR,PISGAH FOREST NC 28768,OUT OF STATE,28768,8285959515,37 GROVE BRIDGE ROAD,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
39529,2026-09-25,STRONG TOWER SOLAR ELC SRVS & GENERATORS,STRONG TOWER SOLAR ELC SRVS & GENERATORS,HUTTO TX 78634-5356,WILLIAMSON,78634,7373065911,501 LAKEMONT DR,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
40848,2026-11-06,SUN CITY SOLAR SOLUTIONS,SUN CITY SOLAR SOLUTIONS,EL PASO TX 79938,EL PASO,79938,9152745825,12765 COZY CREEK DR,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
39213,2027-05-28,SUNAURA SOLAR LLC,SUNAURA SOLAR LLC,ADDISON TX 75001,DALLAS,75001,4699357641,"4560 BELT LINE RD, SUITE 205",explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
34916,2027-06-10,SUNCHARGE SOLAR LLC,SUNCHARGE SOLAR LLC,AUSTIN TX 78747-3928,TRAVIS,78747,5126219407,8913 NORWICH CASTLE,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
38691,2026-11-14,SUNCOR SOLAR & HOME IMPROVEMENT LLC,SUNCOR SOLAR & HOME IMPROVEMENT LLC,PENSACOLA FL 32534-1297,OUT OF STATE,32534,8505307970,251 W NINE MILE RD STE C,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
39841,2027-01-14,SUNCORE SOLAR L.L.C.,SUNCORE SOLAR L.L.C.,FOUNTAIN VALLEY CA 92708-5510,OUT OF STATE,92708,8016737215,18433 AMISTAD ST,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
38605,2026-10-11,SUNDOWN SOLAR LLC,SUNDOWN SOLAR LLC,SAN ANTONIO TX 78250-2814,BEXAR,78250,2105379865,7914 LAUREL BND,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
34867,2026-11-13,SUNERGY SOLAR LLC,SUNERGY SOLAR LLC,NEW PORT RICHEY FL 34654,OUT OF STATE,34654,7273759375,7625 LITTLE RD STE# 200A,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
37131,2027-06-17,SUNFIRE SOLAR SYSTEMS LLC,SUNFIRE SOLAR SYSTEMS LLC,EL PASO TX 79912-4516,EL PASO,79912,5755714269,6112 N MESA ST APT 6071,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
39834,2027-01-13,SUNFORCE SOLAR LLC,SUNFORCE SOLAR LLC,LAS CRUCES NM 88007,OUT OF STATE,88007,5756526806,2805 LAS VEGAS CT STE B,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
39627,2026-10-30,SUNHUT SOLAR LLC,SUNHUT SOLAR LLC,EL PASO TX 79912-4357,EL PASO,79912,9157312009,120 SILVER SHADOW DR,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
35754,2027-07-18,SUNUP SOLAR II LLC,SUNUP SOLAR II LLC,SAN ANTONIO TX 78205,BEXAR,78205,6233086984,100 E HOUSTON STREET,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
32406,2027-02-18,SYNAPTIC SOLAR LLC,SYNAPTIC SOLAR LLC,RICHARDSON TX 75081-2334,DALLAS,75081,9726438655,1140 INTERNATIONAL PKWY,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
37118,2027-06-24,TEX-SUN SOLAR SOLUTIONS LLC,TEX-SUN SOLAR SOLUTIONS LLC,JUSTIN TX 76247,DENTON,76247,9402298563,5440 MONCRIEF ROAD,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
38897,2027-02-23,TEXAN ELECTRIC & SOLAR SERVICES LLC,TEXAN ELECTRIC & SOLAR SERVICES LLC,MANSFIELD TX 76063-3075,TARRANT,76063,6824019080,7941 RODEO TRL 710,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
35309,2027-06-15,TEXAS BEST SOLAR,TEXAS BEST SOLAR,LEWISVILLE TX 75057,DENTON,75057,9402318576,760 E MAIN STREET SUITE 301,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
34757,2027-09-19,TEXAS DIRECT SOLAR LLC,TEXAS DIRECT SOLAR LLC,HOUSTON TX 77023,HARRIS,77023,8329058974,5301 POLK STREET BUILDING 14,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
34731,2027-09-06,TEXAS ENGINEERED SOLAR LLC,TEXAS ENGINEERED SOLAR LLC,SAN ANTONIO TX 78219,BEXAR,78219,2105161604,8526 NE LOOP 410 # 128,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
39837,2027-01-14,TEXAS SOLAR CONSULTANTS,TEXAS SOLAR CONSULTANTS,PRINCETON TX 75407,COLLIN,75407,4699293999,10323 COUNTY ROAD 448 #233,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
30629,2027-01-14,TEXAS SOLAR ENERGY,TEXAS SOLAR ENERGY,HUMBLE TX 77396-6046,HARRIS,77396,8323298949,"14710 BIRCH ARBOR COURT, SUITE A",explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
33580,2027-05-03,TEXAS SOLAR GUYS LLC,TEXAS SOLAR GUYS LLC,BUDA TX 78610,HAYS,78610,5125654767,3690 FM 967,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
37537,2026-09-27,"TEXAS SOLAR PANIMALS, LLC.","TEXAS SOLAR PANIMALS, LLC.",FORNEY TX 75126-5124,KAUFMAN,75126,9729748531,1000 WEESON RD,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
26492,2027-07-23,TEXAS SOLAR POWER COMPANY,TEXAS SOLAR POWER COMPANY,AUSTIN TX 78723-1074,TRAVIS,78723,5124599494,6448 E HIGHWAY 290 STE C112,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
35727,2027-02-09,TEXAS SOLAR PROFESSIONAL LLC,TEXAS SOLAR PROFESSIONAL LLC,CEDAR HILL TX 75104-2656,DALLAS,75104,4695810008,545 JEALOUSE WAY,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
38164,2027-06-05,TEXAS SOLAR SOLUTIONS LLC,TEXAS SOLAR SOLUTIONS LLC,FORT WORTH TX 76102-3524,TARRANT,76102,8179032295,910 COLLIER ST,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
38354,2026-10-16,TEXON SOLAR ENERGY LLC,TEXON SOLAR ENERGY LLC,ALVIN TX 77511-7807,BRAZORIA,77511,2817667222,1299 COUNTY ROAD 147,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
40042,2027-04-29,"THE SOLAR MAINTENANCE GUYS, LLC","THE SOLAR MAINTENANCE GUYS, LLC",BEDFORD TX 76022,TARRANT,76022,6823462225,1001 ATLANTA DR,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
38160,2027-06-16,THS HOME SOLAR LLC,THS HOME SOLAR LLC,LEWISVILLE TX 75067-4183,DENTON,75067,8177164542,405 SH 121 BYP STE A250,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
40091,2027-03-19,TIER 1 SOLAR LLC,TIER 1 SOLAR LLC,CORPUS CHRISTI TX 78401-1934,NUECES,78401,3613451000,710 BUFFALO ST STE 207,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
