licenseNumber,businessName,businessType,address,city,state,zip,county,phone,issueDate,expirationDate,classifications,workersCompCoverageType,workersCompInsuranceCompany,workersCompPolicyExpiration,sourceFiles
905923,BLUELINE SOLAR POWER,Corporation,690 MARANATHA DRIVE,HOLLISTER,CA,95023,San Benito,(831) 801 0097,10/31/2007,10/31/2027,C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,05/05/2027,CSLBSearchData_163505900.xlsx
1010480,BOOKOUT BRIAN,Sole Owner,P O BOX 1954,NEVADA CITY,CA,95959,Nevada,(530) 329 2464,01/21/2016,08/31/2026,C10 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,11/10/2026,CSLBSearchData_163444973.xlsx
1017260,BRETT DOWIS,Sole Owner,25400 BELLVIEW ST,HEMET,CA,92544,Riverside,(951) 330 8405,08/16/2016,08/31/2026,B | C10 | C39 | C46,Workers' Compensation Insurance,PIE INSURANCE COMPANY (THE),03/16/2027,CSLBSearchData_163505900.xlsx
608848,BREWER REFRIGERATION HEATING AND AIRCONDITIONING INC,Corporation,937 GOLDEN GATE TERRACE,GRASS VALLEY,CA,95945,Nevada,(530) 272 6351,01/08/1991,01/31/2027,C20 | C38 | C46,Workers' Compensation Insurance,EVEREST PREMIER INSURANCE COMPANY,09/01/2026,CSLBSearchData_163444973.xlsx
1029267,BRIGHT LIFE REMODELING,Corporation,933 NEWHALL ST,COSTA MESA,CA,92627,Orange,(908) 489 3933,07/25/2017,07/31/2027,B | C39 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,04/19/2027,CSLBSearchData_163444973.xlsx
1007552,BRIGHT SPOT SOLAR,Corporation,5628 BALDWIN AVE,TEMPLE CITY,CA,91780,Los Angeles,(626) 353 4787,09/22/2015,09/30/2027,B | C46,Workers' Compensation Insurance,STARSTONE NATIONAL INSURANCE COMPANY,08/12/2026,CSLBSearchData_163412289.xlsx
1055369,BRIGHTON SOLAR INC,Corporation,2701 COTTAGE WAY STE 11,SACRAMENTO,CA,95825,Sacramento,(916) 749 7711,07/01/2019,07/31/2027,C10 | C46,Workers' Compensation Insurance,ALLMERICA FINANCIAL BENEFIT INSURANCE COMPANY,12/13/2026,CSLBSearchData_163505900.xlsx
1081055,BROWER MECHANICAL CA LLC,Limited Liability,4060 ALVIS COURT,ROCKLIN,CA,95677,Placer,(916) 624 0808,09/10/2021,09/30/2027,B | C-2 | C10 | C20 | C36 | C46,Workers' Compensation Insurance,A I U INSURANCE COMPANY,04/28/2027,CSLBSearchData_163505900.xlsx
1066979,BRYTEMOVE ENERGY,Limited Liability,1451 EDINGER AVENUE UNIT D,TUSTIN,CA,92780,Orange,(844) 643 8432,07/15/2020,07/31/2028,B | C10 | C46,Workers' Compensation Insurance,MIDWEST EMPLOYERS CASUALTY COMPANY,07/01/2027,CSLBSearchData_163444973.xlsx
558980,"BUCKLEY HEAT & AIR, SOLAR",Corporation,5990 DEVECCHI AVENUE,CITRUS HEIGHTS,CA,95621,Sacramento,(916) 348 3181,03/03/1989,03/31/2027,C20 | C46,Workers' Compensation Insurance,TRUCK INSURANCE EXCHANGE,11/01/2026,CSLBSearchData_163505900.xlsx
1019515,BURTEK ENERGY LLC,Limited Liability,12335 BRIARDALE WAY,SAN DIEGO,CA,92128,San Diego,(619) 372 5287,10/19/2016,10/31/2026,A | B | C10 | C20 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,08/15/2027,CSLBSearchData_163505900.xlsx
709658,C & C ROOFING,Sole Owner,1440 CAMPER VIEW RD SPC C29,SAN DIMAS,CA,91773,Los Angeles,(909) 241 0410,07/13/1995,07/31/2027,C39 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,05/07/2027,CSLBSearchData_163412289.xlsx
780158,CACY ELECTRIC,Corporation,1269 GREEN FIELD DR,EL CAJON,CA,92021,San Diego,(619) 817 9200,06/12/2000,10/31/2027,A | B | C10 | C20 | C46,Workers' Compensation Insurance,EVEREST PREMIER INSURANCE COMPANY,06/20/2027,CSLBSearchData_163505900.xlsx
920596,CAL - PAC ROOFING,Corporation,1350 DEL AVENUE SUITE 01,CAMPBELL,CA,95008,Santa Clara,(408) 370 3332,08/11/2008,08/31/2028,B | C39 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,07/01/2027,CSLBSearchData_163528025.xlsx
735061,CAL - PAC ROOFING OF SAN MATEO,Corporation,1122 E 5TH AVE,SAN MATEO,CA,94402,San Mateo,(650) 286 0450,04/17/1997,04/30/2027,C39 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,10/01/2026,CSLBSearchData_163528025.xlsx
1092658,CAL CONTRACTOR SERVICES INC,Corporation,3980 SACO RD SUITE K,BAKERSFIELD,CA,93308,Kern,(661) 535 4004,06/13/2022,06/30/2028,B | C10 | C20 | C39 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,08/04/2027,CSLBSearchData_163412289.xlsx
872310,CALCRAFT CORPORATION,Corporation,1426 SO WILLOW AVE,RIALTO,CA,92376,San Bernardino,(909) 879 2900,02/07/2006,02/29/2028,B | C10 | C33 | C43 | C45 | C46 | C51 | HAZ,Workers' Compensation Insurance,TRAVELERS PROPERTY CASUALTY COMPANY OF AMERICA,03/26/2027,CSLBSearchData_163505900.xlsx
748668,CALIFORNIA ARBORIST COMPLETE TREE CARE INC,Corporation,14068 LAMBERT ROAD,WHITTIER,CA,90605,Los Angeles,(562) 698 3280,04/29/1998,04/30/2028,C27 | C46 | C53 | D49,Workers' Compensation Insurance,SOUTHERN INSURANCE COMPANY,01/01/2027,CSLBSearchData_163412289.xlsx
1067305,CALIFORNIA BUILDERS,Corporation,P O BOX 778,CHICO,CA,95973,Butte,(530) 321 7921,07/27/2020,07/31/2028,B | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,07/07/2027,CSLBSearchData_163342171.xlsx
1015546,CALIFORNIA ENERGY SAVERS INC,Corporation,7211 HAVEN AVE SUITE E - 371,RANCHO CUCAMONGA,CA,91701,San Bernardino,(909) 944 5583,06/28/2016,12/31/2027,B | C46,Workers' Compensation Insurance,HARTFORD CASUALTY INSURANCE COMPANY,06/18/2027,CSLBSearchData_163505900.xlsx
980699,CALIFORNIA SOLAR INNOVATORS INC,Corporation,"580 N WILMA AVE,STE #H",RIPON,CA,95366,San Joaquin,(209) 253 0923,01/28/2013,01/31/2027,B | C10 | C46,Workers' Compensation Insurance,NATIONAL CASUALTY COMPANY,04/25/2027,CSLBSearchData_163505900.xlsx
1004246,CALIFORNIA SOLAR INTEGRATORS INC,Corporation,3574 RUFFIN RD,SAN DIEGO,CA,92123,San Diego,(800) 784 7612,06/05/2015,06/30/2027,B | C10 | C46,Workers' Compensation Insurance,SENTINEL INSURANCE COMPANY LTD,05/27/2027,CSLBSearchData_163505900.xlsx
1002971,CALIFORNIA SOLAR PARTNERS INC,Corporation,5236 WOODWELL COURT,ANTELOPE,CA,95843,Sacramento,(916) 834 7835,04/17/2015,04/30/2027,C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,01/30/2027,CSLBSearchData_163505900.xlsx
1103250,CALIFORNIA SOLAR PROS INC,Corporation,3308 ORANGE GROVE AVE,NORTH HIGHLANDS,CA,95660,Sacramento,(916) 544 0312,04/04/2023,04/30/2027,C10 | C46,Workers' Compensation Insurance,STARNET INSURANCE COMPANY,02/10/2027,CSLBSearchData_163505900.xlsx
1106843,CALLAHAN SOLAR SERVICES,Corporation,10703 S HWY 3,CALLAHAN,CA,96014,Siskiyou,(530) 925 9902,07/03/2023,07/31/2027,C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,06/30/2027,CSLBSearchData_163528025.xlsx
549715,CALPRO SOLAR,Sole Owner,PO BOX 155,BRENTWOOD,CA,94513,Contra Costa,(925) 420 1006,11/30/1988,02/29/2028,C39 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,02/26/2027,CSLBSearchData_163342171.xlsx
989905,CANADAY ELECTRIC,Sole Owner,P O BOX 2001,MORRO BAY,CA,93443,San Luis Obispo,(805) 975 7739,01/15/2014,01/31/2028,C10 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,06/29/2027,CSLBSearchData_163505900.xlsx
1070873,CANCINO TONY,Sole Owner,212 S KRAEMER BLVD UNIT 808,PLACENTIA,CA,92870,Orange,(714) 631 6376,11/12/2020,11/30/2026,C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,06/19/2027,CSLBSearchData_163444973.xlsx
824635,CAPITAL AIRE SYSTEMS,Corporation,3948 DUROCK ROAD,SHINGLE SPRINGS,CA,95682,El Dorado,(530) 626 0948,09/19/2003,07/31/2027,B | C10 | C20 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,11/01/2026,CSLBSearchData_163342171.xlsx
423462,CARNAHAN ELECTRIC LTD,Corporation,6125 ENTEPRISE DR STE 9,DIAMOND SPRINGS,CA,95619,El Dorado,(530) 642 2476,06/03/1982,06/30/2027,C10 | C46,Workers' Compensation Insurance,EMPLOYERS PREFERRED INSURANCE COMPANY,05/01/2027,CSLBSearchData_163342171.xlsx
873578,CASTLE ROCK DESIGN AND DEVELOPMENT INC,Corporation,1185 OBRIEN DRIVE,MENLO PARK,CA,94025,San Mateo,(650) 327 3200,03/01/2006,03/31/2028,B | C-8 | C10 | C17 | C20 | C39 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,01/01/2027,CSLBSearchData_163528025.xlsx
968426,CASTLEBERRY HOME IMPROVEMENTS INC,Corporation,5925 LEWIS AVE,LONG BEACH,CA,90805,Los Angeles,(310) 291 3807,12/14/2011,03/31/2028,B | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,04/08/2027,CSLBSearchData_163412289.xlsx
1043973,CASTONE ROOFING AND CONSTRUCTION INC,Corporation,1113 DAYTON AVE #8,CLOVIS,CA,93612,Fresno,(559) 840 5178,09/06/2018,09/30/2026,B | C39 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,01/29/2027,CSLBSearchData_163342171.xlsx
928270,CENTRAL VALLEY RETAIL & SECURITY SOLUTIONS,Corporation,"1945 N FINE AVE,SUITE 110",FRESNO,CA,93727,Fresno,(559) 230 2827,02/02/2009,02/28/2027,C-7 | C46,Workers' Compensation Insurance,HARTFORD CASUALTY INSURANCE COMPANY,09/17/2026,CSLBSearchData_163342171.xlsx
1086347,CERTIFIED SOLAR PRO,Corporation,999 CORPORATE DRIVE STE 100,LADERA RANCH,CA,92694,Orange,(949) 872 5658,01/20/2022,01/31/2028,C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,01/27/2027,CSLBSearchData_163444973.xlsx
720966,CHAVEZ GLENN CONSTRUCTION,Sole Owner,76621 RANCHITA CANYON RD,SAN MIGUEL,CA,93451,San Luis Obispo,(714) 308 3879,04/05/1996,04/30/2028,A | B | C36 | C46,Workers' Compensation Insurance,EMPLOYERS COMPENSATION INSURANCE COMPANY,02/01/2027,CSLBSearchData_163505900.xlsx
1062535,CHICO SOLAR WORKS,Corporation,3030 THORNTREE DR #2,CHICO,CA,95973,Butte,(530) 892 2385,01/22/2020,01/31/2028,C46,Workers' Compensation Insurance,NATIONAL CASUALTY COMPANY,09/01/2026,CSLBSearchData_163342171.xlsx
512482,CIENAGA SERVICES INC,Corporation,P O BOX 2035,PISMO BEACH,CA,93448,San Luis Obispo,(805) 481 5310,06/16/1987,07/31/2027,C10 | C20 | C36 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,01/01/2027,CSLBSearchData_163505900.xlsx
976065,CINNAMON ENERGY SYSTEMS INC,Corporation,809 UNIVERSITY AVE,LOS GATOS,CA,95032,Santa Clara,(408) 883 7000,08/24/2012,08/31/2028,B | C10 | C20 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,04/16/2027,CSLBSearchData_163528025.xlsx
701434,CIS ROOFING,Corporation,23052 ALICIA PKWY H374,MISSION VIEJO,CA,92692,Orange,(714) 867 9178,01/18/1995,01/31/2027,C39 | C46,Workers' Compensation Insurance,BERKSHIRE HATHAWAY HOMESTATE INSURANCE COMPANY,01/01/2027,CSLBSearchData_163444973.xlsx
647149,CITADEL ROOFING AND SOLAR,Corporation,761 EUBANKS DR,VACAVILLE,CA,95688,Solano,(707) 446 5500,06/09/1992,07/31/2027,B | C-2 | C10 | C39 | C46,Workers' Compensation Insurance,ARCH INDEMNITY INSURANCE COMPANY,06/01/2027,CSLBSearchData_163528025.xlsx
924297,CLEAN POWER GROUP INC,Corporation,19209 PARTHENIA ST UNIT A,NORTHRIDGE,CA,91324,Los Angeles,(818) 741 8341,10/28/2008,02/28/2027,B | C10 | C20 | C39 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,05/07/2027,CSLBSearchData_163412289.xlsx
1054822,CLEAN POWER SOLAR,Sole Owner,17305 SANTA ROSA MINE RD,PERRIS,CA,92570,Riverside,(909) 602 7329,06/18/2019,06/30/2027,C46,Workers' Compensation Insurance,PIE INSURANCE COMPANY (THE),02/13/2027,CSLBSearchData_163505900.xlsx
910460,CLEANTECH ENERGY SOLUTIONS INC,Corporation,3784 MISSION AVENUE #148-337,OCEANSIDE,CA,92058,San Diego,(760) 744 1001,02/08/2008,02/29/2028,C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,02/01/2027,CSLBSearchData_163505900.xlsx
1038414,COACHELLA VALLEY SOLAR INC,Corporation,53839 SLATE DRIVE,COACHELLA,CA,92236,Riverside,(760) 391 1001,04/20/2018,04/30/2028,C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,11/21/2026,CSLBSearchData_163505900.xlsx
820697,COBALT POWER SYSTEMS INC,Corporation,2557 WYANDOTTE ST,MOUNTAIN VIEW,CA,94043,Santa Clara,(650) 938 9574,06/12/2003,06/30/2027,C46,Workers' Compensation Insurance,CYPRESS INSURANCE COMPANY,10/01/2026,CSLBSearchData_163528025.xlsx
1108780,CODE 4 ROOFING SPECIALIST LLC,Limited Liability,340 E 25TH ST,UPLAND,CA,91784,San Bernardino,(626) 824 1843,08/15/2023,02/29/2028,B | C39 | C46,Workers' Compensation Insurance,MIDWEST EMPLOYERS CASUALTY COMPANY,08/03/2027,CSLBSearchData_163505900.xlsx
768923,COMFORT DYNAMICS INC,Corporation,823 ESTABROOK STREET,SAN LEANDRO,CA,94577,Alameda,(510) 352 8501,09/17/1999,09/30/2027,C20 | C36 | C46,Workers' Compensation Insurance,EMPLOYERS PREFERRED INSURANCE COMPANY,02/19/2027,CSLBSearchData_163342171.xlsx
858776,COMFORT ENERGY INC,Corporation,1465 N MILPITAS BLVD,MILPITAS,CA,95035,Santa Clara,(408) 263 3100,05/14/2005,01/31/2028,C-4 | C10 | C20 | C46,Workers' Compensation Insurance,TECHNOLOGY INSURANCE COMPANY INC,04/01/2027,CSLBSearchData_163528025.xlsx
552144,COMFORT SYSTEMS CONSTRUCTION INC,Corporation,1520 W EL CAMINO AVE 249,SACRAMENTO,CA,95833,Sacramento,(916) 929 1170,12/28/1988,05/31/2028,B | C10 | C20 | C46,Workers' Compensation Insurance,NORGUARD INSURANCE COMPANY,02/15/2027,CSLBSearchData_163505900.xlsx
1108378,COMPETITIVE CHOICE SOLAR,Sole Owner,6652 RYAN PARK CT,BAKERSFIELD,CA,93311,Kern,(661) 742 0240,08/08/2023,08/31/2027,B | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,01/01/2027,CSLBSearchData_163412289.xlsx
1114705,CONNOR ENERGY SERVICES,Corporation,13590 FALLHAVEN ROAD,SAN DIEGO,CA,92129,San Diego,(858) 337 4022,01/08/2024,01/31/2028,C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,01/03/2027,CSLBSearchData_163505900.xlsx
1010440,CONTROLLED ENVIRONMENT HVAC INC,Corporation,1904 BROADVIEW DRIVE,GLENDALE,CA,91208,Los Angeles,(818) 541 0920,01/20/2016,01/31/2028,C20 | C46,Workers' Compensation Insurance,NATIONAL CASUALTY COMPANY,08/01/2027,CSLBSearchData_163412289.xlsx
996520,COOL EARTH SOLAR DEVELOPMENT LLC,Limited Liability,3542 S HIGHWAY 99 SUITE B,STOCKTON,CA,95215,San Joaquin,(925) 223 8547,09/08/2014,09/30/2026,C10 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,04/30/2027,CSLBSearchData_163505900.xlsx
1019424,CORDA SOLAR LLC,Limited Liability,59 SILVERBIRCH LANE,DANVILLE,CA,94506,Contra Costa,(925) 725 6622,10/17/2016,10/31/2026,C10 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,04/19/2027,CSLBSearchData_163342171.xlsx
1042269,CORE ENERGY GROUP INC,Corporation,28 N 1ST STREET SUITE 804,SAN JOSE,CA,95113,Santa Clara,(408) 767 1213,07/25/2018,07/31/2028,C46,Workers' Compensation Insurance,MIDWEST EMPLOYERS CASUALTY COMPANY,07/01/2027,CSLBSearchData_163528025.xlsx
749743,CORNERSTONE TECHNOLOGIES INC,Corporation,100 OCEANGATE SUITE 520,LONG BEACH,CA,90802,Los Angeles,(562) 494 9465,05/20/1998,05/31/2028,A | C46 | HAZ,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,09/01/2026,CSLBSearchData_163412289.xlsx
1062520,CORONEL SOLAR,Sole Owner,2605 CEANOTHUS AVE,CHICO,CA,95973,Butte,(530) 513 3137,01/21/2020,01/31/2028,C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,09/26/2026,CSLBSearchData_163342171.xlsx
831831,COSMIC SOLAR INC,Corporation,943 POINSETTIN AVE #401,VISTA,CA,92081,San Diego,(760) 749 1111,02/04/2004,03/31/2027,B | C10 | C39 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,03/01/2027,CSLBSearchData_163505900.xlsx
1046094,COURVILLE COLTON,Sole Owner,23629 BADGER CREEK LANE,MENIFEE,CA,92587,Riverside,(951) 453 5286,10/24/2018,10/31/2026,C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,12/19/2026,CSLBSearchData_163505900.xlsx
174637,CUPERTINO ELECTRIC INC,Corporation,1132 NORTH 7TH STREET,SAN JOSE,CA,95112,Santa Clara,(408) 808 8000,04/21/1958,08/31/2028,A | B | C10 | C46,Workers' Compensation Insurance,OLD REPUBLIC INSURANCE COMPANY,06/01/2027,CSLBSearchData_163528025.xlsx
1045016,CURRENT HOME SOLAR,Corporation,7100 W FLORIDA AVE,HEMET,CA,92545,Riverside,(951) 215 6799,09/28/2018,09/30/2026,B | C10 | C20 | C39 | C46,Workers' Compensation Insurance,ZURICH AMERICAN INSURANCE COMPANY,10/01/2026,CSLBSearchData_163505900.xlsx
1010027,CURTISS SOLAR ENERGY GROUP,Corporation,930 THOMAS AVE #12,SAN DIEGO,CA,92109,San Diego,(619) 743 9661,12/29/2015,12/31/2027,C10 | C46,Workers' Compensation Insurance,MIDWEST EMPLOYERS CASUALTY COMPANY,02/21/2027,CSLBSearchData_163505900.xlsx
1112748,D A C ENTERPRISES LLC,Limited Liability,4005 SKYLINE RD,CARLSBAD,CA,92008,San Diego,(760) 822 8011,11/15/2023,11/30/2027,B | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,11/03/2026,CSLBSearchData_163505900.xlsx
928315,D G HEATING AND AIR CONDITIONING,Sole Owner,1040 COMMERCIAL ST STE 104,SAN JOSE,CA,95112,Santa Clara,(408) 201 9411,02/03/2009,02/28/2027,C20 | C46,Workers' Compensation Insurance,TECHNOLOGY INSURANCE COMPANY INC,07/16/2026,CSLBSearchData_163528025.xlsx
1035345,D G HEATING AND AIR CONDITIONING INC,Corporation,1040 COMMERCIAL ST STE 104,SAN JOSE,CA,95112,Santa Clara,(408) 201 9411,01/30/2018,01/31/2028,C10 | C20 | C46,Workers' Compensation Insurance,INDEMNITY INSURANCE COMPANY OF NORTH AMERICA,10/01/2026,CSLBSearchData_163528025.xlsx
728118,D K ENVIRONMENTAL,Corporation,3527 MT DIABLO BLVD #306,LAFAYETTE,CA,94549,Contra Costa,(925) 930 8600,09/27/1996,08/31/2027,A | B | C27 | C46 | D12 | D34,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,09/05/2026,CSLBSearchData_163342171.xlsx
861505,D S C M INC,Corporation,745 ALEGRE RD,EL CAJON,CA,92019,San Diego,(619) 987 0029,07/19/2005,07/31/2027,A | B | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,08/01/2027,CSLBSearchData_163505900.xlsx
1145139,D3 ENERGY LLC,Limited Liability,3130 TICE CREEK WAY,SACRAMENTO,CA,95833,Sacramento,(919) 306 7931,10/17/2025,10/31/2027,B | C10 | C46,Workers' Compensation Insurance,NATIONAL CASUALTY COMPANY,09/19/2026,CSLBSearchData_163505900.xlsx
552769,DANLIN CORPORATION,Corporation,1372 SEACOAST DR #A,IMPERIAL BEACH,CA,91932,San Diego,(415) 462 4742,01/05/1989,05/31/2027,B | C33 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,05/13/2027,CSLBSearchData_163505900.xlsx
987896,DAY ONE SOLAR INC,Corporation,387 CORAL ST,SANTA CRUZ,CA,95060,Santa Cruz,(831) 687 8097,10/23/2013,10/31/2027,B | C10 | C46,Workers' Compensation Insurance,CAROLINA CASUALTY INSURANCE COMPANY,11/02/2026,CSLBSearchData_163528025.xlsx
903293,DAYLIGHT SOLAR ENERGY CORP,Corporation,3281 E GUASTI RD STE 700,ONTARIO,CA,91761,San Bernardino,(626) 826 3832,09/11/2007,12/31/2027,B | C10 | C46,Workers' Compensation Insurance,PIE INSURANCE COMPANY (THE),04/15/2027,CSLBSearchData_163505900.xlsx
1069859,DAYSTAR SOLAR,Limited Liability,4366 MALANA WAY,RANCHO CORDOVA,CA,95742,Sacramento,(510) 367 7632,10/14/2020,10/31/2026,C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,04/11/2027,CSLBSearchData_163505900.xlsx
683104,DEHARO CONSTRUCTION INC,Corporation,6411 BRISA ST,LIVERMORE,CA,94550,Alameda,(925) 606 8634,12/29/1993,04/30/2028,B | C46,Workers' Compensation Insurance,EVEREST PREMIER INSURANCE COMPANY,06/27/2027,CSLBSearchData_163342171.xlsx
1131922,DEL SUR ENERGY,Corporation,15912 HOPPER LANE,SAN DIEGO,CA,92127,San Diego,(858) 382 4867,01/21/2025,01/31/2027,B | C10 | C46,Workers' Compensation Insurance,EMPLOYERS COMPENSATION INSURANCE COMPANY,01/01/2027,CSLBSearchData_163505900.xlsx
1064475,DESERT CLEAN ENERGY,Corporation,16250 ROCKY GLEN RD,PERRIS,CA,92570,Riverside,(951) 901 0653,03/18/2020,10/31/2026,C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,07/15/2026,CSLBSearchData_163505900.xlsx
454228,DIABLO SOLAR SERVICES INC,Corporation,1990 OLIVERA ROAD SUITE A,CONCORD,CA,94520,Contra Costa,(925) 313 0600,03/29/1984,03/31/2028,C10 | C46,Workers' Compensation Insurance,CAROLINA CASUALTY INSURANCE COMPANY,03/01/2027,CSLBSearchData_163342171.xlsx
1076337,DIAMOND SOLAR SOLUTIONS INC,Corporation,P O BOX 1913,DIAMOND SPRINGS,CA,95619,El Dorado,(530) 363 8112,05/28/2021,04/30/2028,C10 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,06/16/2027,CSLBSearchData_163342171.xlsx
1086821,DISCOUNTED SOLAR,Sole Owner,7841 HIGHWAY 3,HAYFORK,CA,96041,Trinity,(805) 888 9394,02/01/2022,02/29/2028,C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,07/01/2027,CSLBSearchData_163547774.xlsx
867376,DOLLENS ELECTRIC INC,Corporation,3591 PINE RIDGE WAY,SAN JOSE,CA,95127,Santa Clara,(408) 929 6100,11/09/2005,11/30/2027,B | C10 | C46,Workers' Compensation Insurance,HARTFORD CASUALTY INSURANCE COMPANY,10/10/2026,CSLBSearchData_163528025.xlsx
504407,DUCHARME CONSTRUCTION,Sole Owner,P O BOX 2651,SAN ANSELMO,CA,94979,Marin,(415) 420 9150,01/22/1987,01/31/2027,B | C10 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,10/12/2026,CSLBSearchData_163444973.xlsx
1006299,DYNAMIC SOLAR,Sole Owner,944 WINDSONG CT,DIAMOND BAR,CA,91765,Los Angeles,(909) 573 6919,08/11/2015,08/31/2027,C10 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,03/18/2027,CSLBSearchData_163412289.xlsx
794674,E L B A C,Sole Owner,"420 N MCKINLEY STREET,111-510",CORONA,CA,92879,Riverside,(855) 884 6782,05/03/2001,05/31/2027,C-7 | C39 | C46,Workers' Compensation Insurance,STARNET INSURANCE COMPANY,06/28/2027,CSLBSearchData_163505900.xlsx
865616,E P I CONSTRUCTION INC,Corporation,12345 VENTURA BLVD SUITE H,STUDIO CITY,CA,91604,Los Angeles,(818) 760 9100,10/11/2005,10/31/2027,B | C46,Workers' Compensation Insurance,STARSTONE NATIONAL INSURANCE COMPANY,12/31/2026,CSLBSearchData_163412289.xlsx
668002,EAGLE AIR,Corporation,5542 BRISA ST,LIVERMORE,CA,94550,Alameda,(925) 443 2665,03/24/1993,03/31/2027,C20 | C46,Workers' Compensation Insurance,EVEREST PREMIER INSURANCE COMPANY,02/01/2027,CSLBSearchData_163342171.xlsx
822408,EAGLE MOUNTAIN PLUMBING & MECHANICAL LLC,Limited Liability,210 VISTA GRANDE GLEN,ESCONDIDO,CA,92025,San Diego,(760) 690 3690,08/01/2003,11/30/2026,C20 | C36 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,08/15/2027,CSLBSearchData_163505900.xlsx
1003783,EARTH ELECTRIC INCORPORATED,Corporation,1821 S BASCOM AVE #172,CAMPBELL,CA,95008,Santa Clara,(408) 609 0888,05/18/2015,05/31/2027,C10 | C46,Workers' Compensation Insurance,MIDWEST EMPLOYERS CASUALTY COMPANY,04/01/2027,CSLBSearchData_163528025.xlsx
810369,EARTH STAR ELECTRIC,Sole Owner,170 MALET ST,SONOMA,CA,95476,Sonoma,(707) 933 1510,07/08/2002,07/31/2028,C10 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,12/01/2026,CSLBSearchData_163528025.xlsx
1064003,EARTHQUAKE PROTECTION SYSTEMS,Corporation,451 AZUAR DRIVE BLDG 759,VALLEJO,CA,94592,Solano,(707) 644 5993,03/05/2020,03/31/2028,B | C46,Workers' Compensation Insurance,OAK RIVER INSURANCE COMPANY,06/08/2027,CSLBSearchData_163528025.xlsx
1014830,ECLECTRIC SOLAR,Sole Owner,45 NORTHBROOK WAY,WILLITS,CA,95490,Mendocino,(707) 354 3473,06/03/2016,06/30/2028,C46,Workers' Compensation Insurance,EMPLOYERS PREFERRED INSURANCE COMPANY,05/07/2027,CSLBSearchData_163444973.xlsx
445220,ECONO AIR,Corporation,1921 PETRA LANE,PLACENTIA,CA,92870,Orange,(800) 503 2666,08/23/1983,02/29/2028,C-2 | C10 | C20 | C36 | C46,Workers' Compensation Insurance,OAK RIVER INSURANCE COMPANY,04/07/2027,CSLBSearchData_163444973.xlsx
